Name,HG
Cer-(d18:0_24:0),Cer
Cer-(d18:0_24:1),Cer
Cer(d18:1_16:0),Cer
Cer(d18:1_20:0),Cer
Cer(d18:1_22:0),Cer
Cer-(d18:1_23:0),Cer
Cer-(d18:1_24:0),Cer
Cer-(d18:1_24:1),Cer
Cer(d18:1_25:0),Cer
Cer(d18:2_22:0),Cer
Cer(d18:2_23:0),Cer
Cer+(d18:0_22:0),Cer
Cer+(d18:0_24:0),Cer
Cer+(d18:0_24:1),Cer
Cer+(d18:1_23:0),Cer
Cer+(d18:1_24:0),Cer
Cer+(d18:1_24:1),Cer
DG(16:0_18:1),DG
DG(16:0_18:2),DG
DG(16:0_18:2);DG(16:1_18:1),DG
DG(18:0_18:1),DG
DG(18:0_18:2);DG(18:1_18:1),DG
DG(18:1_18:1),DG
DG(18:1_18:2),DG
DG(18:2_18:2),DG
DG(18:2_18:2);DG(18:1_18:3),DG
GalCer-(d18:1_22:0),Gal/GlcCer
GalCer(d18:1_23:0),Gal/GlcCer
GalCer-(d18:1_24:0),Gal/GlcCer
GalCer(d18:1_24:1),Gal/GlcCer
GalCer-(d18:1_24:1),Gal/GlcCer
GalCer+(24:1_d18:1),Gal/GlcCer
GalCer+(d18:1_22:0),Gal/GlcCer
GalCer+(d18:1_24:0),Gal/GlcCer
GalCer+(d18:1_24:1),Gal/GlcCer
PC(0:0_14:0),PC
PC(0:0_16:0),PC
PC(0:0_18:0),PC
PC(0:0_18:1),PC
PC(0:0_20:4),PC
PC(14:0_16:0),PC
PC(14:0_18:1);PC(16:0_16:1),PC
PC(14:0_18:3),PC
PC(14:0_20:4),PC
PC(14:0_22:6),PC
PC(15:0_0:0),PC
PC(15:0_18:1);PC(16:0_17:1),PC
PC(15:0_18:2),PC
PC(15:0_20:3),PC
PC(15:0_20:4),PC
PC(15:0_22:6),PC
PC(16:0_16:0),PC
PC(16:0_18:0),PC
PC(16:0_18:1),PC
PC(16:0_18:2),PC
PC(16:0_18:2);PC(16:1_18:1),PC
PC(16:0_18:3);PC(18:2_16:1),PC
PC(16:0_19:1),PC
PC(16:0_20:1),PC
PC(16:0_20:3),PC
PC(16:0_20:4),PC
PC(16:0_22:4);PC(18:1_20:3),PC
PC(16:0_22:5);PC(18:1_20:4),PC
PC(16:0_22:6),PC
PC(16:0_O-16:0),PC O-
PC(16:1_0:0),PC
PC(16:1_16:1);PC(14:0_18:2);PC(14:0_18:2),PC
PC(16:1_18:2),PC
PC(16:1_20:4),PC
PC(16:1_22:6),PC
PC(17:0_0:0),PC
PC(17:0_18:1),PC
PC(17:0_18:2),PC
PC(17:0_20:3),PC
PC(17:0_20:4),PC
PC(17:0_22:6),PC
PC(18:0_18:1),PC
PC(18:0_18:2);PC(16:0_20:2);PC(18:1_18:1),PC
PC(18:0_20:3),PC
PC(18:0_20:4),PC
PC(18:0_22:4),PC
PC(18:0_22:5);PC(20:1_20:4),PC
PC(18:0_22:6),PC
PC(18:1_18:2),PC
PC(18:1_20:1),PC
PC(18:1_22:6),PC
PC(18:2_0:0),PC
PC(18:2_17:0),PC
PC(18:2_18:2),PC
PC(18:2_19:0),PC
PC(18:2_20:4);PC(18:1_20:5),PC
PC(18:2_22:6);PC(20:4_20:4),PC
PC(20:0_0:0),PC
PC(20:1_0:0),PC
PC(20:2_0:0),PC
PC(20:3_0:0),PC
PC(20:4_16:1);PC(16:0_20:5),PC
PC(20:4_17:0),PC
PC(20:4_18:1),PC
PC(20:4_22:6),PC
PC(20:5_22:0),PC
PC(22:5_16:0),PC
PC(22:5_18:0),PC
PC(22:6_0:0),PC
PC(22:6_P-18:0),PC P-
PC(O-16:0_18:1),PC O-
PC(O-16:0_18:2),PC O-
PC(O-16:0_20:3),PC O-
PC(O-16:0_20:4),PC O-
PC(O-16:0_22:4),PC O-
PC(O-16:0_22:6),PC O-
PC(O-18:0_16:0),PC O-
PC(O-18:0_18:1),PC O-
PC(O-18:0_22:6),PC O-
PC(O-18:1_18:2),PC O-
PC(O-18:1_20:4);PC(O-16:0_22:5),PC O-
PC(O-20:0_20:4),PC O-
PC(P-16:0_16:0),PC P-
PC(P-18:0_22:6),PC P-
PE(16:0_0:0),PE
PE(16:0_0:0),PE
PE(16:0_16:1),PE
PE(16:0_18:0),PE
PE(16:0_18:1),PE
PE(16:0_18:1);PE(16:1_18:0),PE
PE(16:0_18:2),PE
PE(16:0_18:2),PE
PE(16:0_18:3),PE
PE(16:0_18:3),PE
PE(16:0_19:1),PE
PE(16:0_20:2);PE(18:0_18:2),PE
PE(16:0_20:3),PE
PE(16:0_20:4),PE
PE(16:0_20:4),PE
PE(16:0_20:5),PE
PE(16:0_22:4),PE
PE(16:0_22:6),PE
PE(16:0_22:6),PE
PE(16:1_18:2),PE
PE(16:1_20:4),PE
PE(17:0_18:1);PE(17:1_18:0),PE
PE(17:0_18:2),PE
PE(17:0_20:4),PE
PE(18:0_0:0),PE
PE(18:0_0:0),PE
PE(18:0_18:1),PE
PE(18:0_18:1),PE
PE(18:0_18:2),PE
PE(18:0_20:1);PE(18:1_20:0),PE
PE(18:0_20:2);PE(18:2_20:0),PE
PE(18:0_20:3),PE
PE(18:0_20:4),PE
PE(18:0_20:4),PE
PE(18:0_20:5),PE
PE(18:0_22:4);PE(20:0_20:4),PE
PE(18:0_22:6),PE
PE(18:0_22:6),PE
PE(18:1_0:0),PE
PE(18:1_0:0),PE
PE(18:1_16:0),PE
PE(18:1_18:2),PE
PE(18:1_18:2),PE
PE(18:1_20:2);PE(18:2_20:1),PE
PE(18:1_20:4),PE
PE(18:1_20:4),PE
PE(18:1_22:6),PE
PE(18:2_0:0),PE
PE(18:2_0:0),PE
PE(18:2_18:0),PE
PE(18:2_18:2),PE
PE(18:2_20:2),PE
PE(20:0_22:6),PE
PE(20:3_0:0),PE
PE(20:3_18:0),PE
PE(20:4_0:0),PE
PE(20:4_18:0),PE
PE(22:4_18:0),PE
PE(22:6_0:0),PE
PE(O-16:0_20:4),PE O-
PE(O-16:0_22:6),PE O-
PE(O-18:0_20:4),PE O-
PE(P-16:0_18:1),PE P-
PE(P-16:0_18:2),PE P-
PE(P-16:0_18:2),PE P-
PE(P-16:0_20:4),PE P-
PE(P-16:0_20:4),PE P-
PE(P-16:0_20:5),PE P-
PE(P-16:0_22:4),PE P-
PE(P-16:0_22:6),PE P-
PE(P-16:0_22:6),PE P-
PE(P-18:0_18:1),PE P-
PE(P-18:0_18:1),PE P-
PE(P-18:0_18:2),PE P-
PE(P-18:0_18:2),PE P-
PE(P-18:0_20:3),PE P-
PE(P-18:0_20:4),PE P-
PE(P-18:0_20:4),PE P-
PE(P-18:0_22:4),PE P-
PE(P-18:0_22:4),PE P-
PE(P-18:0_22:5),PE P-
PE(P-18:0_22:6),PE P-
PE(P-18:0_22:6),PE P-
PE(P-18:1_22:6),PE P-
PE(P-20:0_18:1),PE P-
PE(P-20:0_18:2),PE P-
PE(P-20:0_20:4),PE P-
PE(P-20:0_20:4),PE P-
PE(P-20:0_22:6),PE P-
PG(16:0_18:1),PG
PI(16:0_16:0),PI
PI(16:0_16:1),PI
PI(16:0_18:1),PI
PI(16:0_18:2),PI
PI(16:0_20:3);PI(18:2_18:1),PI
PI(16:0_20:4),PI
PI(16:0_22:6),PI
PI(17:0_18:2),PI
PI(17:0_20:4),PI
PI(18:0_18:1),PI
PI(18:0_18:2),PI
PI(18:0_20:3),PI
PI(18:0_20:4),PI
PI(18:0_22:6),PI
PI(18:1_18:2),PI
PI(18:1_20:4),PI
PI(20:4_18:1),PI
PS(18:0_20:4),PS
SM(d16:1_16:0),SM
SM(d16:1_16:0);SM(d18:1_14:0),SM
SM(d16:1_20:0);SM(d18:1_18:0),SM
SM(d16:1_22:0),SM
SM(d16:1_22:0);SM(d18:1_20:0),SM
SM(d16:1_24:1);SM(d18:2_22:0);SM(d18:1_22:1),SM
SM(d17:1_24:1);SM(d18:2_23:0),SM
SM(d18:0_16:0),SM
SM(d18:0_18:0),SM
SM(d18:1_12:0),SM
SM(d18:1_15:0),SM
SM(d18:1_16:0),SM
SM(d18:1_17:0),SM
SM(d18:1_22:0),SM
SM(d18:1_23:0),SM
SM(d18:1_24:0),SM
SM(d18:1_25:0),SM
SM(d18:1_26:0),SM
SM(d18:1_26:1),SM
SM(d18:2_14:0),SM
SM(d18:2_16:0),SM
SM(d18:2_18:0);SM(d18:1_18:1),SM
SM(d18:2_18:1),SM
SM(d18:2_20:0),SM
SM(d18:2_21:0),SM
SM(d18:2_24:0);SM(d18:1_24:1),SM
SM(d18:2_24:1),SM
SM(d19:1_24:1),SM
SM(d20:1_19:0),SM
TG(10:0_12:0_16:0);TG(10:0_14:0_14:0);TG(12:0_12:0_14:0),TG
TG(10:0_16:0_16:0);TG(12:0_12:0_18:0);TG(12:0_14:0_16:0),TG
TG(12:0_12:0_16:0);TG(12:0_14:0_14:0);TG(10:0_14:0_16:0),TG
TG(12:0_12:0_18:1);TG(12:0_14:0_16:1);TG(12:0_14:1_16:0),TG
TG(12:0_14:0_18:0);TG(12:0_16:0_16:0);TG(14:0_14:0_16:0),TG
TG(12:0_16:0_16:1);TG(12:0_14:0_18:1);TG(14:0_14:0_16:1);TG(14:0_14:1_16:0),TG
TG(12:0_16:0_18:1);TG(12:0_16:1_18:0);TG(14:0_14:0_18:1);TG(14:0_16:0_16:1),TG
TG(12:0_16:1_16:1);TG(12:0_14:0_18:2);TG(14:1_14:1_16:0);TG(10:0_16:1_18:1),TG
TG(12:0_16:1_18:2);TG(14:0_14:1_18:2);TG(14:1_16:1_16:1),TG
TG(12:0_18:2_18:2),TG
TG(14:0_14:0_18:2);TG(12:0_16:0_18:2);TG(12:0_16:1_18:1);TG(14:0_14:1_18:1);TG(14:0_16:1_16:1),TG
TG(14:0_16:0_18:1);TG(16:0_16:0_16:1),TG
TG(14:0_16:0_18:2);TG(14:0_16:1_18:1);TG(16:0_16:1_16:1),TG
TG(14:0_16:0_18:3);TG(14:1_16:0_18:2);TG(14:0_16:1_18:2),TG
TG(14:0_18:2_18:3);TG(14:1_18:2_18:2);TG(16:1_16:1_18:3),TG
TG(14:0_18:2_22:6),TG
TG(15:0_16:0_18:1);TG(16:0_16:0_17:1);TG(16:0_16:1_17:0),TG
TG(15:0_16:0_18:2),TG
TG(15:0_16:0_18:3);TG(15:0_16:1_18:2),TG
TG(15:0_18:1_18:1);TG(16:0_17:1_18:1);TG(16:0_17:0_18:2),TG
TG(15:0_18:2_18:2),TG
TG(16:0_16:0_16:0),TG
TG(16:0_16:0_18:0),TG
TG(16:0_16:0_18:1),TG
TG(16:0_16:0_18:2);TG(16:0_16:1_18:1),TG
TG(16:0_16:1_18:2);TG(14:0_18:1_18:2);TG(16:0_16:0_18:3);TG(16:1_16:1_18:1),TG
TG(16:0_17:1_18:2);TG(15:0_18:1_18:2);TG(15:0_16:0_20:3);TG(16:1_17:1_18:1),TG
TG(16:0_18:0_18:1),TG
TG(16:0_18:1_18:1),TG
TG(16:0_18:1_20:1);TG(18:0_18:1_18:1),TG
TG(16:0_18:1_22:0),TG
TG(16:0_18:1_22:6);TG(18:1_18:2_20:4),TG
TG(16:0_18:1_24:0),TG
TG(16:0_18:2_18:2);TG(16:1_18:1_18:2),TG
TG(16:0_18:2_18:3);TG(16:1_18:2_18:2);TG(16:1_18:2_18:2),TG
TG(16:0_20:1_20:1);TG(18:0_18:1_20:1);TG(16:0_18:1_22:1);TG(18:1_18:1_20:0),TG
TG(16:0_20:3_22:4);TG(18:1_18:2_22:4);TG(18:2_18:2_22:3),TG
TG(16:1_16:1_18:2);TG(14:0_18:1_18:3);TG(14:0_18:2_18:2);TG(16:0_16:1_18:3),TG
TG(16:1_18:1_18:1);TG(16:0_18:1_18:2),TG
TG(16:1_18:2_18:3);TG(14:0_18:2_20:4),TG
TG(16:1_18:2_20:4);TG(18:2_18:2_18:3);TG(18:2_18:2_18:3),TG
TG(17:0_18:0_18:1),TG
TG(17:0_18:1_18:1);TG(16:0_18:1_19:1),TG
TG(17:0_18:2_18:2);TG(17:1_18:1_18:2),TG
TG(17:1_18:1_18:1);TG(16:0_18:2_19:1);TG(17:0_18:1_18:2);TG(16:0_17:0_20:3),TG
TG(17:1_18:2_18:2),TG
TG(18:0_18:0_18:1);TG(16:0_18:1_20:0),TG
TG(18:0_18:2_20:4);TG(16:0_18:2_22:4),TG
TG(18:1_18:1_18:1);TG(18:0_18:1_18:2);TG(16:0_18:1_20:2),TG
TG(18:1_18:1_18:2);TG(16:0_18:0_20:4),TG
TG(18:1_18:1_20:1);TG(18:0_18:2_20:1),TG
TG(18:1_18:1_20:2);TG(18:1_18:2_20:1),TG
TG(18:1_18:1_20:3);TG(16:0_18:1_22:4);TG(18:0_18:1_20:4),TG
TG(18:1_18:1_22:0);TG(16:0_18:2_24:0),TG
TG(18:1_18:2_18:2),TG
TG(18:1_18:2_22:0),TG
TG(18:1_18:2_22:5);TG(18:1_18:1_22:6),TG
TG(18:2_18:2_20:4);TG(16:0_18:2_22:6),TG
TG(18:2_18:2_22:5);TG(18:1_18:2_22:6);TG(18:1_20:4_20:4),TG
TG(18:2_18:2_22:6);TG(18:2_20:4_20:4),TG
TG(18:2_18:3_18:3),TG
TG(18:2_18:3_20:4);TG(16:0_18:3_22:6);TG(18:2_18:2_20:5),TG
TG(8:0_16:1_18:1);TG(12:0_12:0_18:2);TG(12:0_14:1_16:1),TG
TG(8:0_16:1_18:1);TG(12:0_12:0_18:2);TG(12:0_14:1_16:1),TG
